condition,probe_pid,gallery_pid,label,holistic_dist,eer_threshold,holistic_decision,forensic_class
Lower_Occlusion,0025,0001,impostor,1.043547,0.787105,REJECT,TR
Lower_Occlusion,0025,0003,impostor,0.778679,0.787105,ACCEPT,FA
Lower_Occlusion,0025,0004,impostor,1.032044,0.787105,REJECT,TR
Lower_Occlusion,0025,0005,impostor,1.078422,0.787105,REJECT,TR
Lower_Occlusion,0025,0006,impostor,1.205556,0.787105,REJECT,TR
Lower_Occlusion,0025,0007,impostor,1.050282,0.787105,REJECT,TR
Lower_Occlusion,0025,0009,impostor,1.25955,0.787105,REJECT,TR
Lower_Occlusion,0025,0010,impostor,0.969772,0.787105,REJECT,TR
Lower_Occlusion,0025,0011,impostor,0.843778,0.787105,REJECT,TR
Lower_Occlusion,0025,0012,impostor,1.016216,0.787105,REJECT,TR
Lower_Occlusion,0025,0013,impostor,0.863554,0.787105,REJECT,TR
Lower_Occlusion,0025,0014,impostor,1.03256,0.787105,REJECT,TR
Lower_Occlusion,0025,0015,impostor,0.93517,0.787105,REJECT,TR
Lower_Occlusion,0025,0016,impostor,0.92548,0.787105,REJECT,TR
Lower_Occlusion,0025,0017,impostor,1.048927,0.787105,REJECT,TR
Lower_Occlusion,0025,0018,impostor,1.044152,0.787105,REJECT,TR
Lower_Occlusion,0025,0019,impostor,0.930824,0.787105,REJECT,TR
Lower_Occlusion,0025,0020,impostor,0.970006,0.787105,REJECT,TR
Lower_Occlusion,0025,0021,impostor,0.960181,0.787105,REJECT,TR
Lower_Occlusion,0025,0022,impostor,0.995314,0.787105,REJECT,TR
Lower_Occlusion,0025,0023,impostor,0.840447,0.787105,REJECT,TR
Lower_Occlusion,0025,0024,impostor,0.83966,0.787105,REJECT,TR
Lower_Occlusion,0025,0025,genuine,0.548065,0.787105,ACCEPT,TA
Lower_Occlusion,0025,0026,impostor,0.962759,0.787105,REJECT,TR
Lower_Occlusion,0025,0027,impostor,0.964762,0.787105,REJECT,TR
Dual_Occlusion,0018,0001,impostor,0.932483,0.978187,ACCEPT,FA
Dual_Occlusion,0018,0003,impostor,1.00079,0.978187,REJECT,TR
